LIBNAME,MEMNAME,MEMLABEL,TYPEMEM,NAME,TYPE,LENGTH,VARNUM,LABEL,FORMAT,FORMATL,FORMATD,INFORMAT,INFORML,INFORMD,JUST,NPOS,NOBS,ENGINE,CRDATE,MODATE,DELOBS,IDXUSAGE,MEMTYPE,IDXCOUNT,PROTECT,FLAGS,COMPRESS,REUSE,SORTED,SORTEDBY,CHARSET,COLLATE,NODUPKEY,NODUPREC,ENCRYPT,POINTOBS,GENMAX,GENNUM,GENNEXT,TRANSCOD
DT,OUTCOME_CANCER_NMSC,,,BEGIN_DATE,1,8,6,Beginning Date of Service,MMDDYY,10,0,,0,0,1,16,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,DX,2,18,8,Diagnosis Code,,0,0,,0,0,0,57,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,DX_TYPE,2,2,7,Diagnosis Code Type,,0,0,,0,0,0,55,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,ENC_TYPE,2,2,5,Encounter Type,,0,0,,0,0,0,53,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,NMSC_Basal,2,1,9,,,0,0,,0,0,0,75,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,NMSC_Squamous,2,1,10,,,0,0,,0,0,0,76,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,NMSC_def1,2,1,11,,,0,0,,0,0,0,77,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,NMSC_def2,2,1,12,,,0,0,,0,0,0,78,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,NMSC_def3,2,1,17,,,0,0,,0,0,0,90,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,PATH_DATE,1,8,15,Procedure Date,MMDDYY,10,0,,0,0,1,24,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,PX,2,11,4,Procedure Code,,0,0,,0,0,0,42,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,PX_DATE,1,8,2,Procedure Date,MMDDYY,10,0,,0,0,1,8,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,PX_PATH,2,11,16,Procedure Code,,0,0,,0,0,0,79,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,PX_TYPE,2,2,3,Procedure Code Type,,0,0,,0,0,0,40,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,exposureID,1,8,1,,,0,0,,0,0,1,0,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,outcome_date,1,4,13,,MMDDYY,10,0,,0,0,1,32,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,OUTCOME_CANCER_NMSC,,,outcome_start_date,1,4,14,,MMDDYY,10,0,,0,0,1,36,4789,V9,03OCT17:17:07:14,03OCT17:17:07:14,0,NONE,DATA,0,---,---,NO,NO,,,,,NO,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,AScohortDate,1,8,4,,MMDDYY,10,0,,0,0,1,0,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,4,ANSI,,YES,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,Disease,2,41,9,Disease,$,41,0,$,41,0,0,153,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,9,ANSI,,YES,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,PATID,2,20,3,Unique Patient Identification Number,,0,0,,0,0,0,77,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,3,ANSI,,YES,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,database,2,10,1,,,0,0,,0,0,0,56,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,1,ANSI,,YES,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,exposure,2,11,2,,,0,0,,0,0,0,66,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,2,ANSI,,YES,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,indPrev12mo,1,8,11,,,0,0,,0,0,1,32,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,YES,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,indPrev24mo,1,8,12,,,0,0,,0,0,1,40,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,YES,NO,NO,YES,0,,,YES
DT,COMORBIDITIES,,,indPrev36mo,1,8,13,,,0,0,,0,0,1,48,57824,V9,21MAY18:18:24:25,21MAY18:18:24:25,0,NONE,DATA,0,---,---,NO,NO,1,,ANSI,,YES,NO,NO,YES,0,,,YES
