database,cohort,outcomeCategory,Disease,denomPatid,denomControlCohort,timeWindow,numer,prevPct
MPCD,Non-AS,Cancer,Hematologic Cancer,1139225,1139225,12 months,4681,0.4108933705
MPCD,Non-AS,Cancer,Hematologic Cancer,1139225,1139225,24 months,8048,0.7064451711
MPCD,Non-AS,Cancer,Hematologic Cancer,1139225,1139225,36 months,10496,0.9213280959
MPCD,Non-AS,Cancer,Hematologic Cancer,1139225,1139225,Prior to index,3369,0.2957273585
MPCD,Non-AS,Cancer,Non Melanoma Skin Cancer,1139225,1139225,12 months,6,0.0005266738
MPCD,Non-AS,Cancer,Non Melanoma Skin Cancer,1139225,1139225,24 months,7,0.0006144528
MPCD,Non-AS,Cancer,Non Melanoma Skin Cancer,1139225,1139225,36 months,7,0.0006144528
MPCD,Non-AS,Cancer,Non Melanoma Skin Cancer,1139225,1139225,Prior to index,4,0.0003511159
MPCD,Non-AS,Cancer,Solid Cancer,1139225,1139225,12 months,31774,2.7890890737
MPCD,Non-AS,Cancer,Solid Cancer,1139225,1139225,24 months,51175,4.4920889201
MPCD,Non-AS,Cancer,Solid Cancer,1139225,1139225,36 months,64326,5.6464701881
MPCD,Non-AS,Cancer,Solid Cancer,1139225,1139225,Prior to index,23524,2.0649125502
MPCD,Non-AS,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1139225,1139225,12 months,8908,0.7819350874
MPCD,Non-AS,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1139225,1139225,24 months,15381,1.3501283767
MPCD,Non-AS,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1139225,1139225,36 months,20239,1.7765586254
MPCD,Non-AS,Cardiac disease,Aortic Insufficiency/Aortic Regurgitation,1139225,1139225,Prior to index,6642,0.5830279357
MPCD,Non-AS,Cardiac disease,Conduction Block,1139225,1139225,12 months,5886,0.5166670324
MPCD,Non-AS,Cardiac disease,Conduction Block,1139225,1139225,24 months,11257,0.988127894
MPCD,Non-AS,Cardiac disease,Conduction Block,1139225,1139225,36 months,15451,1.3562729048
MPCD,Non-AS,Cardiac disease,Conduction Block,1139225,1139225,Prior to index,4195,0.3682327898
MPCD,Non-AS,Cardiac disease,Myocardial infarction,1139225,1139225,12 months,120,0.0105334767
MPCD,Non-AS,Cardiac disease,Myocardial infarction,1139225,1139225,24 months,227,0.0199258268
MPCD,Non-AS,Cardiac disease,Myocardial infarction,1139225,1139225,36 months,290,0.025455902
MPCD,Non-AS,Cardiac disease,Myocardial infarction,1139225,1139225,Prior to index,88,0.0077245496
MPCD,Non-AS,Infection,Hospitalized infection,1139225,1139225,12 months,1221,0.1071781255
MPCD,Non-AS,Infection,Hospitalized infection,1139225,1139225,24 months,1968,0.172749018
MPCD,Non-AS,Infection,Hospitalized infection,1139225,1139225,36 months,2473,0.2170773991
MPCD,Non-AS,Infection,Hospitalized infection,1139225,1139225,Prior to index,1054,0.0925190371
MPCD,Non-AS,Infection,Opportunistic infection,1139225,1139225,12 months,3845,0.3375101494
MPCD,Non-AS,Infection,Opportunistic infection,1139225,1139225,24 months,7258,0.6370997827
MPCD,Non-AS,Infection,Opportunistic infection,1139225,1139225,36 months,10048,0.8820031162
MPCD,Non-AS,Infection,Opportunistic infection,1139225,1139225,Prior to index,2564,0.2250652856
MPCD,Non-AS,Inflammatory bowel disease,Crohn’s Disease,1139225,1139225,12 months,21713,1.9059448309
MPCD,Non-AS,Inflammatory bowel disease,Crohn’s Disease,1139225,1139225,24 months,30056,2.6382847989
MPCD,Non-AS,Inflammatory bowel disease,Crohn’s Disease,1139225,1139225,36 months,34518,3.0299545744
MPCD,Non-AS,Inflammatory bowel disease,Crohn’s Disease,1139225,1139225,Prior to index,15903,1.3959490004
MPCD,Non-AS,Inflammatory bowel disease,Ulcerative Colitis,1139225,1139225,12 months,21123,1.8541552371
MPCD,Non-AS,Inflammatory bowel disease,Ulcerative Colitis,1139225,1139225,24 months,31795,2.7909324321
MPCD,Non-AS,Inflammatory bowel disease,Ulcerative Colitis,1139225,1139225,36 months,37981,3.3339331563
MPCD,Non-AS,Inflammatory bowel disease,Ulcerative Colitis,1139225,1139225,Prior to index,14537,1.2760429239
MPCD,Non-AS,Kidney disease,Amyloidosis,1139225,1139225,12 months,193,0.0169413417
MPCD,Non-AS,Kidney disease,Amyloidosis,1139225,1139225,24 months,462,0.0405538853
MPCD,Non-AS,Kidney disease,Amyloidosis,1139225,1139225,36 months,697,0.0611819439
MPCD,Non-AS,Kidney disease,Amyloidosis,1139225,1139225,Prior to index,108,0.009480129
MPCD,Non-AS,Kidney disease,IgA nephropathy,1139225,1139225,12 months,552,0.0484539928
MPCD,Non-AS,Kidney disease,IgA nephropathy,1139225,1139225,24 months,938,0.0823366762
MPCD,Non-AS,Kidney disease,IgA nephropathy,1139225,1139225,36 months,1222,0.1072659045
MPCD,Non-AS,Kidney disease,IgA nephropathy,1139225,1139225,Prior to index,413,0.0362527157
MPCD,Non-AS,Kidney disease,Nephrotic syndrome,1139225,1139225,12 months,255,0.022383638
MPCD,Non-AS,Kidney disease,Nephrotic syndrome,1139225,1139225,24 months,470,0.0412561171
MPCD,Non-AS,Kidney disease,Nephrotic syndrome,1139225,1139225,36 months,601,0.0527551625
MPCD,Non-AS,Kidney disease,Nephrotic syndrome,1139225,1139225,Prior to index,216,0.0189602581
MPCD,Non-AS,Lung disease,Apical Pulmonary fibrosis,1139225,1139225,12 months,79,0.0069345388
MPCD,Non-AS,Lung disease,Apical Pulmonary fibrosis,1139225,1139225,24 months,145,0.012727951
MPCD,Non-AS,Lung disease,Apical Pulmonary fibrosis,1139225,1139225,36 months,206,0.0180824683
MPCD,Non-AS,Lung disease,Apical Pulmonary fibrosis,1139225,1139225,Prior to index,46,0.0040378327
MPCD,Non-AS,Lung disease,Interstitial lung disease,1139225,1139225,12 months,31,0.0027211481
